station_name,elevation
AAAD,4
AAWR,167
ABBN,6
ABCV,304
ABGL,76
ABMA,342
ABTL,6
ACCC,3
ADDN,30
ADGV,54
AGGH,9
AGGL,24
AGGM,6
AHBR,9
AHPD,11
AMHB,3
AMLV,14
AMMG,69
AMMQ,6
ANAU,7
ANYN,7
APAL,69
APCR,7
APDN,30
APFT,160
APKG,360
APPH,12
ASAS,544
ASLH,6
ASNF,109
ASNW,110
ASSY,3
ASWG,213
ASWM,11
AYGA,1587
AYGN,27
AYMD,12
AYMH,1642
AYMO,4
AYNZ,70
AYPY,47
AYRB,9
AYVN,4
AYWK,6
BGAA,41
BGAM,52
BGAS,16
BGAT,23
BGBW,26
BGCH,76
BGCO,10
BGDB,44
BGDH,12
BGDU,20
BGEM,47
BGFD,23
BGFH,16
BGGD,29
BGGH,70
BGGN,24
BGHB,9
BGJH,34
BGJN,25
BGKK,34
BGKT,41
BGMQ,15
BGMV,10
BGNN,20
BGNS,30
BGPC,19
BGPT,2
BGQQ,19
BGSC,66
BGSF,53
BGSS,50
BGST,24
BGTL,77
BGTM,10
BGUK,127
BGUP,63
BGUQ,2
BIAR,27
BIBD,6
BIEG,38
BIGR,16
BIHN,7
BIIS,3
BIKA,56
BIKF,54
BIKR,3
BIRG,10
BIRK,61
BIST,8
BIVM,124
BIVO,48
BKPR,576
BMKA,41
CACQ,31
CAHR,53
CBBC,43
CERM,154
CMBB,75
CMBR,22
CMCT,39
CMCW,262
CMFM,672
CMGB,86
CMHB,105
CMHN,168
CMHW,42
CMLA,61
CMLI,31
CMPD,175
CMPL,56
CMRG,54
CMRI,30
CMRU,65
CMRY,59
CMSB,49
CMSC,55
CMSX,59
CMWD,210
CMYT,55
CNGH,20
CPBT,980
CPCI,1081
CPEH,801
CPFI,833
CPIR,858
CPQL,903
CPRO,714
CPRY,937
CPST,967
CPSV,766
CPVI,645
CPXL,799
CTAE,57
CTAL,77
CTCK,85
CTCW,58
CTNK,410
CTPP,38
CTRA,435
CTWN,75
CVAS,327
CVBI,394
CWAB,218
CWAC,41
CWAD,4
CWAE,658
CWAF,5
CWAG,192
CWAH,23
CWAJ,178
CWAN,27
CWAQ,756
CWAR,16
CWAU,4
CWAV,1114
CWAX,111
CWBA,181
CWBD,582
CWBE,196
CWBF,12
CWBG,1670
CWBI,190
CWBK,2
CWBM,745
CWBO,747
CWBR,31
CWBS,16
CWBT,11
CWBU,373
CWBV,10
CWBY,53
CWBZ,49
CWCA,14
CWCF,222
CWCH,424
CWCI,187
CWCJ,206
CWCL,1057
CWCO,221
CWCQ,34
CWCT,791
CWCU,295
CWCV,16
CWCZ,21
CWDA,29
CWDC,318
CWDD,184
CWDF,182
CWDH,19
CWDI,105
CWDJ,573
CWDK,1012
CWDL,816
CWDM,6
CWDO,92
CWDQ,169
CWDR,17
CWDT,399
CWDV,489
CWDW,29
CWDZ,678
CWEB,7
CWEC,209
CWEE,305
CWEF,26
CWEH,1078
CWEI,446
CWEK,8
CWEL,5
CWEM,14
CWEO,561
CWEP,11
CWEQ,335
CWER,5
CWES,72
CWET,251
CWEU,10
CWEW,21
CWEX,242
CWEZ,7
CWFD,393
CWFF,490
CWFG,111
CWFJ,1136
CWFM,23
CWFQ,152
CWFR,846
CWGB,5
CWGD,214
CWGH,82
CWGJ,559
CWGL,221
CWGM,1296
CWGN,251
CWGP,204
CWGQ,269
CWGR,60
CWGT,5
CWGU,120
CWGW,1137
CWGX,145
CWGY,707
CWGZ,45
CWHA,747
CWHC,2
CWHH,256
CWHI,907
CWHL,5
CWHM,192
CWHN,636
CWHO,8
CWHP,4
CWHQ,55
CWHT,599
CWHV,229
CWHY,851
CWIA,103
CWIC,58
CWID,161
CWIE,478
CWIF,21
CWIG,18
CWII,220
CWIJ,500
CWIK,602
CWIL,36
CWIM,538
CWIO,15
CWIP,25
CWIQ,702
CWIS,719
CWIT,52
CWIU,103
CWIW,526
CWIX,113
CWIY,241
CWIZ,45
CWJB,91
CWJC,357
CWJD,223
CWJG,10
CWJH,344
CWJI,724
CWJM,125
CWJN,1
CWJO,133
CWJR,646
CWJT,239
CWJU,41
CWJV,556
CWJW,1020
CWJX,672
CWKD,497
CWKG,165
CWKH,366
CWKK,260
CWKM,13
CWKO,917
CWKP,330
CWKS,937
CWKV,674
CWKW,551
CWKX,793
CWLA,41
CWLB,567
CWLC,27
CWLE,665
CWLF,242
CWLI,102
CWLM,70
CWLO,373
CWLP,17
CWLS,415
CWLT,63
CWLU,20
CWLX,162
CWLY,229
CWLZ,503
CWMD,12
CWME,32
CWMI,3
CWMJ,200
CWMK,1
CWMM,5
CWMN,63
CWMQ,767
CWMR,8
CWMS,26
CWMT,271
CWMW,170
CWMZ,191
CWNB,195
CWNC,78
CWND,12
CWNE,15
CWNH,148
CWNJ,12
CWNK,268
CWNL,183
CWNM,535
CWNP,524
CWNQ,10
CWNX,715
CWNZ,256
CWOB,367
CWOC,47
CWOD,137
CWOE,935
CWOK,595
CWOS,30
CWOU,606
CWOY,560
CWPB,183
CWPC,184
CWPD,803
CWPE,1
CWPF,12
CWPH,253
CWPI,9
CWPJ,5
CWPK,442
CWPL,386
CWPO,470
CWPQ,6
CWPR,700
CWPS,175
CWPU,910
CWPX,165
CWPZ,713
CWQA,2164
CWQC,53
CWQG,168
CWQH,181
CWQK,5
CWQO,1
CWQP,79
CWQR,9
CWQS,14
CWQV,1
CWQY,318
CWRA,28
CWRC,266
CWRE,221
CWRF,325
CWRH,369
CWRJ,586
CWRK,331
CWRM,988
CWRN,8
CWRO,7
CWRT,1303
CWRU,98
CWRW,10
CWRX,41
CWRY,1050
CWRZ,16
CWSA,4
CWSD,24
CWSE,766
CWSF,29
CWSG,5
CWSI,241
CWSK,60
CWSL,351
CWSN,278
CWSO,1
CWSP,21
CWSR,584
CWSS,26
CWST,31
CWSV,683
CWSW,1138
CWSZ,253
CWTA,63
CWTB,479
CWTD,244
CWTG,5
CWTH,804
CWTI,21
CWTL,222
CWTN,6
CWTP,1
CWTQ,32
CWTT,209
CWTU,683
CWTY,6
CWUK,381
CWUM,717
CWUP,390
CWUR,40
CWUS,454
CWUW,527
CWUX,135
CWVA,27
CWVB,16
CWVD,573
CWVF,1
CWVH,261
CWVI,639
CWVJ,290
CWVK,555
CWVN,785
CWVP,1271
CWVQ,39
CWVT,434
CWVU,16
CWVV,49
CWVW,18
CWVY,108
CWVZ,12
CWWA,178
CWWB,76
CWWE,9
CWWF,589
CWWK,15
CWWL,17
CWWQ,837
CWWS,223
CWWU,13
CWWX,181
CWWZ,79
CWXA,1298
CWXC,300
CWXH,568
CWXI,6
CWXL,817
CWXM,19
CWXO,44
CWXR,69
CWXU,600
CWYH,220
CWYJ,39
CWYK,834
CWYL,1615
CWYM,583
CWYY,283
CWZA,15
CWZB,40
CWZC,11
CWZD,5
CWZG,1397
CWZK,8
CWZL,17
CWZM,15
CWZN,64
CWZO,1
CWZQ,17
CWZR,543
CWZS,166
CWZV,92
CWZW,705
CWZZ,483
CXAF,664
CXAG,625
CXAJ,574
CXAK,795
CXAM,583
CXAR,10
CXAT,19
CXBA,687
CXBI,289
CXBK,580
CXBL,51
CXBO,100
CXBP,54
CXBQ,262
CXBR,1073
CXBU,777
CXBW,824
CXCA,228
CXCD,630
CXCH,44
CXCK,540
CXCM,19
CXCP,1006
CXCS,772
CXCY,190
CXDB,1310
CXDE,213
CXDI,232
CXDK,283
CXDP,614
CXDR,413
CXDW,341
CXEA,355
CXEC,671
CXEG,715
CXET,251
CXFA,5
CXFB,34
CXFM,881
CXFR,655
CXFS,169
CXFT,122
CXFV,289
CXFW,547
CXGH,217
CXGM,78
CXHA,191
CXHD,688
CXHF,190
CXHI,30
CXHM,107
CXHP,602
CXHR,971
CXIB,8
CXJM,227
CXKA,218
CXKE,99
CXKI,324
CXKM,675
CXKT,49
CXLA,1
CXLB,4
CXLC,373
CXLL,183
CXLT,162
CXLU,179
CXMB,1
CXMD,301
CXME,1
CXMG,457
CXMH,717
CXMI,15
CXMM,369
CXMN,947
CXMO,836
CXMP,46
CXMY,40
CXNC,1
CXND,1362
CXNI,1
CXNM,439
CXNP,20
CXOA,79
CXOL,1046
CXOX,379
CXOY,767
CXPA,621
CXPC,176
CXPG,1101
CXPL,750
CXPS,766
CXPV,213
CXQA,530
CXQH,690
CXQT,183
CXRB,30
CXRG,205
CXRH,68
CXRL,585
CXSC,800
CXSE,11
CXSH,110
CXSI,1
CXSL,680
CXSP,649
CXSR,1015
CXSS,1681
CXSW,114
CXTD,68
CXTH,678
CXTI,1
CXTL,875
CXTN,552
CXTO,113
CXTP,107
CXTV,85
CXUX,8
CXVM,623
CXVN,79
CXVW,698
CXWB,18
CXWI,251
CXWM,944
CXWN,230
CXWR,33
CXXX,339
CXYH,204
CXZC,9
CXZU,785
CXZV,52
CYAB,22
